                               No. of Molecules =      200
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         21.1606
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en        -263.22998
        Step              PE              KE                TE 
       385          -265.64962          52.84027        -212.80935
       386          -265.61864          52.80929        -212.80935
       387          -265.58647          52.77712        -212.80935
       388          -265.55310          52.74375        -212.80935
       389          -265.51852          52.70916        -212.80936
       390          -265.48270          52.67334        -212.80936
       391          -265.44565          52.63629        -212.80936
       392          -265.40735          52.59799        -212.80936
       393          -265.36778          52.55842        -212.80936
       394          -265.32695          52.51758        -212.80937
       395          -265.28483          52.47547        -212.80937
       396          -265.24143          52.43206        -212.80937
       397          -265.19673          52.38736        -212.80937
       398          -265.15073          52.34136        -212.80937
       399          -265.10342          52.29405        -212.80937
       400          -265.05479          52.24542        -212.80937
       401          -265.00484          52.19547        -212.80937
       402          -264.95357          52.14420        -212.80937
       403          -264.90099          52.09162        -212.80937
       404          -264.84709          52.03772        -212.80937
       405          -264.79186          51.98249        -212.80937
       406          -264.73531          51.92593        -212.80938
       407          -264.67744          51.86807        -212.80938
       408          -264.61826          51.80888        -212.80938
       409          -264.55777          51.74839        -212.80938
       410          -264.49597          51.68659        -212.80938
       411          -264.43289          51.62350        -212.80938
       412          -264.36850          51.55912        -212.80938
       413          -264.30284          51.49346        -212.80938
       414          -264.23592          51.42654        -212.80938
       415          -264.16776          51.35837        -212.80939
       416          -264.09835          51.28897        -212.80938
       417          -264.02773          51.21834        -212.80938
       418          -263.95590          51.14651        -212.80938
       419          -263.88288          51.07350        -212.80938
       420          -263.80870          50.99931        -212.80938
       421          -263.73337          50.92398        -212.80938
       422          -263.65691          50.84753        -212.80938
       423          -263.57936          50.76998        -212.80938
       424          -263.50074          50.69136        -212.80938
       425          -263.42107          50.61169        -212.80938
       426          -263.34038          50.53101        -212.80937
       427          -263.25870          50.44933        -212.80937
       428          -263.17606          50.36669        -212.80937
       429          -263.09249          50.28312        -212.80937
       430          -263.00802          50.19865        -212.80937
       431          -262.92269          50.11332        -212.80936
       432          -262.83654          50.02717        -212.80936
       433          -262.74960          49.94024        -212.80936
       434          -262.66190          49.85254        -212.80936
       435          -262.57349          49.76413        -212.80936
       436          -262.48439          49.67503        -212.80936
       437          -262.39465          49.58529        -212.80935
       438          -262.30431          49.49496        -212.80935
       439          -262.21341          49.40407        -212.80935
       440          -262.12201          49.31266        -212.80935
       441          -262.03013          49.22079        -212.80934
       442          -261.93783          49.12849        -212.80934
       443          -261.84513          49.03579        -212.80934
       444          -261.75209          48.94275        -212.80933
       445          -261.65875          48.84941        -212.80934
       446          -261.56515          48.75582        -212.80933
       447          -261.47134          48.66201        -212.80933
       448          -261.37734          48.56801        -212.80933
       449          -261.28321          48.47389        -212.80933
       450          -261.18900          48.37967        -212.80932
       451          -261.09474          48.28542        -212.80932
       452          -261.00049          48.19117        -212.80932
       453          -260.90629          48.09697        -212.80932
       454          -260.81219          48.00288        -212.80932
       455          -260.71824          47.90893        -212.80932
       456          -260.62448          47.81516        -212.80931
       457          -260.53096          47.72164        -212.80931
       458          -260.43772          47.62841        -212.80931
       459          -260.34481          47.53550        -212.80931
       460          -260.25228          47.44298        -212.80931
       461          -260.16017          47.35087        -212.80930
       462          -260.06853          47.25923        -212.80930
       463          -259.97741          47.16812        -212.80930
       464          -259.88687          47.07758        -212.80929
       465          -259.79696          46.98767        -212.80929
       466          -259.70773          46.89844        -212.80929
       467          -259.61922          46.80993        -212.80929
       468          -259.53149          46.72220        -212.80929
       469          -259.44460          46.63531        -212.80929
       470          -259.35859          46.54931        -212.80928
       471          -259.27354          46.46425        -212.80928
       472          -259.18949          46.38021        -212.80928
       473          -259.10650          46.29723        -212.80927
       474          -259.02464          46.21537        -212.80927
       475          -258.94396          46.13470        -212.80927
       476          -258.86453          46.05527        -212.80926
       477          -258.78641          45.97715        -212.80926
       478          -258.70967          45.90042        -212.80925
